C日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/6/7,ポークビーンズ,トマトケチャップ,2.7,3,0,0,32
2023/6/7,ポークビーンズ,中濃ソース,2.3,3,0,0,53
2023/6/7,ポークビーンズ,しょうゆ,0.9,1,0.1,0,51
2023/6/7,ポークビーンズ,赤ワイン,1.4,1,0,0,0
2023/6/7,ポークビーンズ,塩,0.45,0,0,0,176
2023/6/7,ポークビーンズ,こしょう,0.02,0,0,0,0
2023/6/7,ポークビーンズ,チリパウダー,0.15,1,0,0,4
2023/6/7,いろどりスープ,ベーコン,2,8,0.3,0.8,16
2023/6/7,いろどりスープ,人参,5,1,0,0,2
2023/6/7,いろどりスープ,キャベツ,15,3,0.2,0,1
2023/6/7,いろどりスープ,小松菜,7,1,0.1,0,1
2023/6/7,いろどりスープ,ホールコーン,10,8,0.2,0.1,21
2023/6/7,いろどりスープ,わかめ,0.3,1,0.1,0,11
2023/6/7,いろどりスープ,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2023/6/7,いろどりスープ,しょうゆ,1,1,0.1,0,57
2023/6/7,いろどりスープ,塩,0.9,0,0,0,351
2023/6/7,いろどりスープ,片栗粉,1.5,5,0,0,0
2023/6/7,いろどりスープ,水,120～130,0,0,0,0
2023/6/7,ジャム,りんごジャム,15,30,0,0,1
2023/6/8,ガパオライス,米,70,239,4.3,0.6,1
2023/6/8,ガパオライス,麦,10,33,0.7,0.2,0
2023/6/8,ガパオライス,油,0.3,3,0,0.3,0
2023/6/8,ガパオライス,酒,1,1,0,0,0
2023/6/8,ガパオライス,水,,0,0,0,0
2023/6/8,ガパオライス,豚ひき肉,45,82,9,5.3,22
2023/6/8,ガパオライス,大豆ミート,6.5,23,3,0.2,0
2023/6/8,ガパオライス,玉ねぎ,30,9,0.3,0,1
2023/6/8,ガパオライス,ピーマン,5,1,0,0,0
2023/6/8,ガパオライス,にんにく,0.5,1,0,0,0
2023/6/8,ガパオライス,油,1,9,0,1,0
2023/6/8,ガパオライス,しょうゆ,3,2,0.2,0,171
2023/6/8,ガパオライス,オイスターソース,1.5,2,0.1,0,68
2023/6/8,ガパオライス,酒,0.5,1,0,0,0
2023/6/8,ガパオライス,みりん,0.5,1,0,0,0
2023/6/8,ガパオライス,さとう,0.3,1,0,0,0
2023/6/8,ガパオライス,豆板醤,0.2,0,0,0,14
2023/6/8,ガパオライス,塩,0.3,0,0,0,117
2023/6/8,ガパオライス,こしょう,0.01,0,0,0,0
2023/6/8,ガパオライス,乾燥バジル,0.06,0,0,0,0
2023/6/8,牛乳,牛乳,206,126,6.8,7.8,84
2023/6/8,春雨サラダ,緑豆春雨,5,17,0,0,1
2023/6/8,春雨サラダ,人参,5,1,0,0,2
2023/6/8,春雨サラダ,キャベツ,25,4,0.3,0,1
2023/6/8,春雨サラダ,ほうれん草,10,2,0.3,0,11
2023/6/8,春雨サラダ,さとう,0.5,2,0,0,0
2023/6/8,春雨サラダ,しょうゆ,2.3,2,0.2,0,131
2023/6/8,春雨サラダ,酢,3,2,0,0,0
2023/6/8,春雨サラダ,ごま油,0.5,4,0,0.5,0
2023/6/8,春雨サラダ,からし粉,0.1,0,0,0,0
2023/6/8,春雨サラダ,サラダ油,2,18,0,2,0
2023/6/9,こぎつねずし,米,65,222,4,0.6,1
2023/6/9,こぎつねずし,麦,5,17,0.4,0.1,0
2023/6/9,こぎつねずし,酒,0.8,1,0,0,0
2023/6/9,こぎつねずし,水,,0,0,0,0
2023/6/9,こぎつねずし,さとう,1.8,7,0,0,0
2023/6/9,こぎつねずし,塩,0.7,0,0,0,273
2023/6/9,こぎつねずし,酢,6,4,0,0,1
2023/6/9,こぎつねずし,人参,7,2,0.1,0,2
2023/6/9,こぎつねずし,冷凍油揚げ,15,62,3.5,5.2,1
2023/6/9,こぎつねずし,さとう,3,12,0,0,0
2023/6/9,こぎつねずし,しょうゆ,3.5,3,0.3,0,200
2023/6/9,こぎつねずし,かつお節,1,0,0,0,0
2023/6/9,こぎつねずし,水,20,0,0,0,0
2023/6/9,こぎつねずし,白ごま,1.7,10,0.3,0.9,0
2023/6/9,牛乳,牛乳,206,126,6.8,7.8,84
2023/6/9,とり肉のてり煮,鶏肉,60,97,11.4,6.1,31
2023/6/9,とり肉のてり煮,こんにゃく,15,1,0,0,2
2023/6/9,とり肉のてり煮,しょうが,1,0,0,0,0
2023/6/9,とり肉のてり煮,酒,1,1,0,0,0
2023/6/9,とり肉のてり煮,みりん,3,7,0,0,0
2023/6/9,とり肉のてり煮,しょうゆ,4,3,0.3,0,228
2023/6/9,とり肉のてり煮,三温糖,3,12,0,0,0
2023/6/9,とり肉のてり煮,水,,0,0,0,0
2023/6/9,とり肉のてり煮,一味とうがらし,0.01,0,0,0,0
2023/6/9,おひたし,キャベツ,35,6,0.4,0.1,1
2023/6/9,おひたし,もやし,20,3,0.3,0,0
2023/6/9,おひたし,ほうれん草,10,2,0.3,0,11
2023/6/9,おひたし,しょうゆ,2.8,2,0.2,0,160
2023/6/12,麦ごはん,米,70,239,4.3,0.6,1
2023/6/12,麦ごはん,麦,10,33,0.7,0.2,0
2023/6/12,麦ごはん,油,0.3,3,0,0.3,0
2023/6/12,麦ごはん,酒,1,1,0,0,0
2023/6/12,麦ごはん,水,,0,0,0,0
2023/6/12,牛乳,牛乳,206,126,6.8,7.8,84
2023/6/12,豚肉のみそ炒め,豚肉,60,109,12,7,29
2023/6/12,豚肉のみそ炒め,玉ねぎ,40,12,0.4,0,1
2023/6/12,豚肉のみそ炒め,しょうが,0.5,0,0,0,0
2023/6/12,豚肉のみそ炒め,にんにく,0.1,0,0,0,0
2023/6/12,豚肉のみそ炒め,油,1,9,0,1,0
2023/6/12,豚肉のみそ炒め,トック,20,46,0.8,0.1,24
2023/6/12,豚肉のみそ炒め,酒,1.2,1,0,0,0
2023/6/12,豚肉のみそ炒め,さとう,3,12,0,0,0
2023/6/12,豚肉のみそ炒め,赤みそ,4.2,7,0.6,0.2,214
2023/6/12,豚肉のみそ炒め,しょうゆ,1.8,1,0.1,0,103
2023/6/12,豚肉のみそ炒め,豆板醤,0.12,0,0,0,8
2023/6/12,豚肉のみそ炒め,片栗粉,0.4,1,0,0,0
2023/6/12,豚肉のみそ炒め,水,1.2,0,0,0,0
2023/6/12,いそあえ,キャベツ,40,7,0.4,0.1,2
2023/6/12,いそあえ,ほうれん草,20,4,0.6,0.1,23
2023/6/12,いそあえ,しょうゆ,2.4,2,0.2,0,137
2023/6/12,いそあえ,のり,0.5,1,0.2,0,3
2023/6/13,黒パン,黒パン,50,236,7.1,3.8,358
2023/6/13,発酵乳,プルーン発酵乳,213,160,6.4,2.8,192
2023/6/13,かぼちゃのシチュー,鶏肉,30,49,5.7,3,16
2023/6/13,かぼちゃのシチュー,かぼちゃ,40,28,0.7,0.1,0
2023/6/13,かぼちゃのシチュー,人参,15,4,0.1,0,5
2023/6/13,かぼちゃのシチュー,玉ねぎ,25,8,0.2,0,0
2023/6/13,かぼちゃのシチュー,油,0.7,6,0,0.7,0
2023/6/13,かぼちゃのシチュー,油,1.5,13,0,1.5,0
2023/6/13,かぼちゃのシチュー,バター,1.5,11,0,1.2,11
2023/6/13,かぼちゃのシチュー,小麦粉,3,10,0.2,0,0
2023/6/13,かぼちゃのシチュー,カレー粉,0.3,1,0,0,0
2023/6/13,かぼちゃのシチュー,塩,0.6,0,0,0,234
