B日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/10/20,白菜のクリームシチュー,油,0.5,4,0,0.5,0
2023/10/20,白菜のクリームシチュー,油,1,9,0,1,0
2023/10/20,白菜のクリームシチュー,バター,2,14,0,1.6,15
2023/10/20,白菜のクリームシチュー,小麦粉,3,10,0.2,0,0
2023/10/20,白菜のクリームシチュー,調理用牛乳,30,18,1,1.1,12
2023/10/20,白菜のクリームシチュー,脱脂粉乳,9,32,3.1,0.1,51
2023/10/20,白菜のクリームシチュー,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2023/10/20,白菜のクリームシチュー,塩,0.8,0,0,0,312
2023/10/20,白菜のクリームシチュー,こしょう,0.04,0,0,0,0
2023/10/20,白菜のクリームシチュー,水,60～70,0,0,0,0
2023/10/20,ジャム,りんごジャム,15,30,0,0,1
2023/10/23,ごはん,米（委託炊飯）,80,274,4.9,0.7,1
2023/10/23,牛乳,牛乳,206,126,6.8,7.8,84
2023/10/23,さばのごまみそがけ,さば,60,127,12.4,10.1,66
2023/10/23,さばのごまみそがけ,片栗粉,10,34,0,0,0
2023/10/23,さばのごまみそがけ,油,35,37,0,4.2,0
2023/10/23,さばのごまみそがけ,赤みそ,3.3,6,0.4,0.2,168
2023/10/23,さばのごまみそがけ,白みそ,3.3,6,0.4,0.2,162
2023/10/23,さばのごまみそがけ,さとう,2.4,9,0,0,0
2023/10/23,さばのごまみそがけ,みりん,1.8,4,0,0,0
2023/10/23,さばのごまみそがけ,白ごま,0.6,4,0.1,0.3,0
2023/10/23,さばのごまみそがけ,水,7.2,0,0,0,0
2023/10/23,しょうがあえ,キャベツ,40,7,0.4,0.1,2
2023/10/23,しょうがあえ,もやし,25,4,0.4,0,0
2023/10/23,しょうがあえ,しょうが,0.8,0,0,0,0
2023/10/23,しょうがあえ,しょうゆ,2.6,2,0.2,0,148
2023/10/23,月見汁,鶏肉,20,32,3.8,2,10
2023/10/23,月見汁,人参,15,4,0.1,0,5
2023/10/23,月見汁,長ねぎ,10,2,0.1,0,0
2023/10/23,月見汁,干し椎茸,0.5,1,0.1,0,0
2023/10/23,月見汁,小松菜,15,2,0.2,0,2
2023/10/23,月見汁,白玉もち,20,39,0.7,0.1,1
2023/10/23,月見汁,かつお節,1.5,0,0,0,0
2023/10/23,月見汁,塩,0.7,0,0,0,273
2023/10/23,月見汁,しょうゆ,2,2,0.2,0,114
2023/10/23,月見汁,水,120,0,0,0,0
2023/10/24,黒パン,黒パン,50,236,7.1,3.8,358
2023/10/24,牛乳,牛乳,206,126,6.8,7.8,84
2023/10/24,炒めビーフン,ビーフン,20,72,1.4,0.3,0
2023/10/24,炒めビーフン,豚肉,33,60,6.6,3.9,16
2023/10/24,炒めビーフン,人参,10,3,0.1,0,3
2023/10/24,炒めビーフン,干し椎茸,0.8,2,0.2,0,0
2023/10/24,炒めビーフン,玉ねぎ,20,6,0.2,0,0
2023/10/24,炒めビーフン,もやし,25,4,0.4,0,0
2023/10/24,炒めビーフン,キャベツ,35,6,0.4,0.1,1
2023/10/24,炒めビーフン,油,1,9,0,1,0
2023/10/24,炒めビーフン,塩,0.7,0,0,0,273
