B日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/4/24,こぎつねずし,酒,0.8,1,0,0,0
2023/4/24,こぎつねずし,水,,0,0,0,0
2023/4/24,こぎつねずし,さとう,1.8,7,0,0,0
2023/4/24,こぎつねずし,塩,0.7,0,0,0,273
2023/4/24,こぎつねずし,酢,6,4,0,0,1
2023/4/24,こぎつねずし,人参,7,2,0.1,0,2
2023/4/24,こぎつねずし,冷凍油揚げ,15,62,3.5,5.2,1
2023/4/24,こぎつねずし,さとう,3,12,0,0,0
2023/4/24,こぎつねずし,しょうゆ,3.5,3,0.3,0,200
2023/4/24,こぎつねずし,かつお節,1,0,0,0,0
2023/4/24,こぎつねずし,水,20,0,0,0,0
2023/4/24,牛乳,牛乳,206,126,6.8,7.8,84
2023/4/24,とりたま煮,鶏肉,60,97,11.4,6.1,31
2023/4/24,とりたま煮,うずら卵水煮,40,65,4.4,5.6,84
2023/4/24,とりたま煮,こんにゃく,20,1,0,0,2
2023/4/24,とりたま煮,しょうが,0.6,0,0,0,0
2023/4/24,とりたま煮,さとう,3,12,0,0,0
2023/4/24,とりたま煮,しょうゆ,4,3,0.3,0,228
2023/4/24,浅漬け,キャベツ,45,8,0.5,0.1,2
2023/4/24,浅漬け,きゅうり,10,1,0.1,0,0
2023/4/24,浅漬け,塩,0.4,0,0,0,156
2023/4/24,浅漬け,白ごま,1,6,0.2,0.5,0
2023/4/25,ごはん,米（委託炊飯）,80,274,4.9,0.7,1
2023/4/25,牛乳,牛乳,206,126,6.8,7.8,84
2023/4/25,あじのたつた揚げ,あじ,35,39,6.9,1.6,46
2023/4/25,あじのたつた揚げ,しょうゆ,1.7,1,0.1,0,97
2023/4/25,あじのたつた揚げ,しょうが,0.5,0,0,0,0
2023/4/25,あじのたつた揚げ,酒,0.8,1,0,0,0
2023/4/25,あじのたつた揚げ,片栗粉,9,30,0,0,0
2023/4/25,あじのたつた揚げ,油,35,21,0,2.4,0
2023/4/25,豚汁,豚肉,20,36,4,2.3,10
2023/4/25,豚汁,人参,20,5,0.1,0,6
2023/4/25,豚汁,じゃがいも,30,16,0.5,0,0
2023/4/25,豚汁,大根,30,4,0.1,0,4
2023/4/25,豚汁,小松菜,20,3,0.3,0,3
2023/4/25,豚汁,冷凍豆腐,30,18,1.5,0.8,1
2023/4/25,豚汁,かつお節,1.5,0,0,0,0
2023/4/25,豚汁,白みそ,10,18,1.3,0.6,490
2023/4/25,豚汁,水,100～120,0,0,0,0
2023/4/26,黒パン,黒パン,50,236,7.1,3.8,358
2023/4/26,牛乳,牛乳,206,126,6.8,7.8,84
2023/4/26,マカロニグラタン,鶏肉,30,49,5.7,3,16
2023/4/26,マカロニグラタン,マカロニ,20,69,2.6,0.4,0
2023/4/26,マカロニグラタン,塩,0.4,0,0,0,0
2023/4/26,マカロニグラタン,人参,10,3,0.1,0,3
2023/4/26,マカロニグラタン,玉ねぎ,40,12,0.4,0,1
2023/4/26,マカロニグラタン,マッシュルーム,3,1,0.1,0,11
2023/4/26,マカロニグラタン,油,0.7,6,0,0.7,0
2023/4/26,マカロニグラタン,乾燥パセリ,0.05,0,0,0,0
2023/4/26,マカロニグラタン,油,2,18,0,2,0
2023/4/26,マカロニグラタン,バター,2,14,0,1.6,15
2023/4/26,マカロニグラタン,小麦粉,4,14,0.3,0.1,0
2023/4/26,マカロニグラタン,調理用牛乳,30,18,1,1.1,12
2023/4/26,マカロニグラタン,脱脂粉乳,5,18,1.7,0.1,29
2023/4/26,マカロニグラタン,濃縮スープ（チキン）,2,0,0.1,0,2
2023/4/26,マカロニグラタン,塩,0.75,0,0,0,293
2023/4/26,マカロニグラタン,こしょう,0.04,0,0,0,0
2023/4/26,マカロニグラタン,水,30～40,0,0,0,0
2023/4/26,マカロニグラタン,とろけるチーズ,10,31,2.3,2.6,110
2023/4/26,マカロニグラタン,パン粉,1,4,0.1,0.1,5
2023/4/26,いろどりスープ,ベーコン,2,8,0.3,0.8,16
2023/4/26,いろどりスープ,人参,5,1,0,0,2
2023/4/26,いろどりスープ,キャベツ,20,4,0.2,0,1
2023/4/26,いろどりスープ,小松菜,10,1,0.2,0,2
2023/4/26,いろどりスープ,ホールコーン,10,8,0.2,0.1,21
2023/4/26,いろどりスープ,わかめ,0.3,1,0.1,0,11
2023/4/26,いろどりスープ,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2023/4/26,いろどりスープ,しょうゆ,1,1,0.1,0,57
2023/4/26,いろどりスープ,塩,0.9,0,0,0,351
2023/4/26,いろどりスープ,片栗粉,1.5,5,0,0,0
2023/4/26,いろどりスープ,水,120～130,0,0,0,0
2023/4/27,ソフトフランス,ソフトフランス,50,214,6.9,3.9,350
2023/4/27,牛乳,牛乳,206,126,6.8,7.8,84
2023/4/27,揚げじゃがいものそぼろ煮,じゃがいも,140,74,2.3,0.1,1
2023/4/27,揚げじゃがいものそぼろ煮,油,35,37,0,4.2,0
2023/4/27,揚げじゃがいものそぼろ煮,豚ひき肉,30,55,6,3.5,15
2023/4/27,揚げじゃがいものそぼろ煮,さとう,4.5,18,0,0,0
2023/4/27,揚げじゃがいものそぼろ煮,しょうゆ,4.5,3,0.3,0,257
2023/4/27,揚げじゃがいものそぼろ煮,酒,0.5,1,0,0,0
2023/4/27,揚げじゃがいものそぼろ煮,片栗粉,1,3,0,0,0
2023/4/27,揚げじゃがいものそぼろ煮,水,,0,0,0,0
2023/4/27,みそドレッシングサラダ,キャベツ,35,6,0.4,0.1,1
2023/4/27,みそドレッシングサラダ,人参,5,1,0,0,2
2023/4/27,みそドレッシングサラダ,もやし,15,2,0.2,0,0
2023/4/27,みそドレッシングサラダ,小松菜,15,2,0.2,0,2
2023/4/27,みそドレッシングサラダ,白みそ,3.6,7,0.5,0.2,176
2023/4/27,みそドレッシングサラダ,さとう,2,8,0,0,0
2023/4/27,みそドレッシングサラダ,サラダ油,1.2,11,0,1.2,0
2023/4/27,みそドレッシングサラダ,酢,2,1,0,0,0
2023/4/27,みそドレッシングサラダ,ごま油,0.4,4,0,0.4,0
2023/4/27,みそドレッシングサラダ,白ごま,0.8,5,0.2,0.4,0
2023/4/27,ジャム,りんごジャム,15,30,0,0,1
2023/4/28,麦ごはん,米,70,239,4.3,0.6,1
2023/4/28,麦ごはん,麦,10,33,0.7,0.2,0
2023/4/28,麦ごはん,油,0.3,3,0,0.3,0
2023/4/28,麦ごはん,酒,1,1,0,0,0
2023/4/28,麦ごはん,水,,0,0,0,0
2023/4/28,牛乳,牛乳,206,126,6.8,7.8,84
2023/4/28,ホイコーロー,豚肉,55,100,11,6.4,27
2023/4/28,ホイコーロー,キャベツ,60,11,0.7,0.1,3
2023/4/28,ホイコーロー,長ねぎ,15,3,0.1,0,0
2023/4/28,ホイコーロー,人参,13,4,0.1,0,4
2023/4/28,ホイコーロー,にんにく,0.5,1,0,0,0
2023/4/28,ホイコーロー,しょうが,0.5,0,0,0,0
2023/4/28,ホイコーロー,ごま油,1.2,11,0,1.2,0
2023/4/28,ホイコーロー,豆板醤,0.3,0,0,0,21
2023/4/28,ホイコーロー,酒,1.5,2,0,0,0
2023/4/28,ホイコーロー,濃縮スープ（ポーク）,3,2,0.1,0.1,2
2023/4/28,ホイコーロー,さとう,0.5,2,0,0,0
2023/4/28,ホイコーロー,しょうゆ,3,2,0.2,0,171
2023/4/28,ホイコーロー,こしょう,0.01,0,0,0,0
2023/4/28,ホイコーロー,甜面醤,6,15,0.5,0.5,174
2023/4/28,ホイコーロー,片栗粉,1,3,0,0,0
2023/4/28,ホイコーロー,水,,0,0,0,0
2023/4/28,ナムル,もやし,40,6,0.7,0,1
2023/4/28,ナムル,小松菜,10,1,0.2,0,2
2023/4/28,ナムル,しょうゆ,1.9,1,0.1,0,108
2023/4/28,ナムル,ごま油,0.4,4,0,0.4,0
2023/4/28,ナムル,白ごま,0.8,5,0.2,0.4,0
2023/4/28,ヨーグルト,ヨーグルト（鉄）,80,68,2.3,1.1,31
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
