A日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2022/5/12,ソフトフランス,ソフトフランス,50,217,7,3.8,351
2022/5/12,牛乳,牛乳,206,126,6.8,7.8,84
2022/5/12,ポトフ,ウインナーソーセージ（鉄）,30,100,4.6,8.4,177
2022/5/12,ポトフ,人参,15,4,0.1,0,5
2022/5/12,ポトフ,じゃがいも,50,27,0.8,0,0
2022/5/12,ポトフ,玉ねぎ,40,12,0.4,0,1
2022/5/12,ポトフ,キャベツ,40,7,0.4,0.1,2
2022/5/12,ポトフ,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2022/5/12,ポトフ,塩,0.5,0,0,0,195
2022/5/12,ポトフ,こしょう,0.01,0,0,0,0
2022/5/12,ポトフ,ベイリーフ,0.01,0,0,0,0
2022/5/12,ポトフ,水,60,0,0,0,0
2022/5/12,もやしのサラダ,もやし,40,6,0.7,0,1
2022/5/12,もやしのサラダ,きゅうり,10,1,0.1,0,0
2022/5/12,もやしのサラダ,ホールコーン,10,8,0.2,0.1,21
2022/5/12,もやしのサラダ,しょうゆ,2.6,2,0.2,0,148
2022/5/12,もやしのサラダ,酢,1.8,1,0,0,0
2022/5/12,もやしのサラダ,さとう,0.2,1,0,0,0
2022/5/12,もやしのサラダ,サラダ油,1.4,12,0,1.4,0
2022/5/12,もやしのサラダ,白ごま,1,6,0.2,0.5,0
2022/5/12,ジャム,りんごジャム,15,30,0,0,1
2022/5/13,チャンポンめん,中華麺,35,118,4.1,0.6,144
2022/5/13,チャンポンめん,豚肉,25,46,5,2.9,12
2022/5/13,チャンポンめん,人参,8,2,0.1,0,2
2022/5/13,チャンポンめん,玉ねぎ,35,11,0.3,0,1
2022/5/13,チャンポンめん,もやし,30,4,0.5,0,1
2022/5/13,チャンポンめん,油,1,9,0,1,0
2022/5/13,チャンポンめん,小松菜,10,1,0.2,0,2
2022/5/13,チャンポンめん,濃縮スープ（ポーク）,3,2,0.1,0.1,2
2022/5/13,チャンポンめん,塩,0.7,0,0,0,273
2022/5/13,チャンポンめん,しょうゆ,5.6,4,0.4,0,319
2022/5/13,チャンポンめん,片栗粉,3.5,12,0,0,0
2022/5/13,チャンポンめん,水,100～120,0,0,0,0
2022/5/13,牛乳,牛乳,206,126,6.8,7.8,84
2022/5/13,じゃがいもと大豆のから揚げ,じゃがいも,80,42,1.3,0.1,1
2022/5/13,じゃがいもと大豆のから揚げ,大豆（ボイル）,40,65,5.9,3.9,0
2022/5/13,じゃがいもと大豆のから揚げ,片栗粉,4,14,0,0,0
2022/5/13,じゃがいもと大豆のから揚げ,油,35,46,0,5.2,0
2022/5/13,じゃがいもと大豆のから揚げ,塩,0.23,0,0,0,90
2022/5/13,ヨーグルト,ヨーグルト（鉄）,80,68,2.3,1.1,31
2022/5/16,豚すき丼,米,70,239,4.3,0.6,1
2022/5/16,豚すき丼,麦,10,33,0.7,0.2,0
2022/5/16,豚すき丼,油,0.3,3,0,0.3,0
2022/5/16,豚すき丼,酒,1,1,0,0,0
2022/5/16,豚すき丼,水,,0,0,0,0
2022/5/16,豚すき丼,豚肉,45,82,9,5.3,22
2022/5/16,豚すき丼,凍り豆腐,7,35,3.5,2.4,31
2022/5/16,豚すき丼,しらたき,25,2,0.1,0,3
2022/5/16,豚すき丼,玉ねぎ,15,5,0.1,0,0
2022/5/16,豚すき丼,白菜,45,5,0.3,0,3
2022/5/16,豚すき丼,油,1.2,11,0,1.2,0
2022/5/16,豚すき丼,小松菜,15,2,0.2,0,2
2022/5/16,豚すき丼,さとう,3.4,13,0,0,0
2022/5/16,豚すき丼,しょうゆ,8,6,0.6,0,456
2022/5/16,豚すき丼,酒,1,1,0,0,0
2022/5/16,牛乳,牛乳,206,126,6.8,7.8,84
2022/5/16,切り干し大根のサラダ,切り干し大根,3.5,10,0.3,0,7
