D日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2022/7/7,豚肉のキムチ炒め,しょうゆ,1.2,1,0.1,0,68
2022/7/7,豚肉のキムチ炒め,酒,1,1,0,0,0
2022/7/7,豚肉のキムチ炒め,さとう,1,4,0,0,0
2022/7/7,豚肉のキムチ炒め,塩,0.1,0,0,0,39
2022/7/7,豚肉のキムチ炒め,こしょう,0.01,0,0,0,0
2022/7/7,豚肉のキムチ炒め,オイスターソース,0.4,0,0,0,18
2022/7/7,豚肉のキムチ炒め,片栗粉,0.6,2,0,0,0
2022/7/7,豚肉のキムチ炒め,水,,0,0,0,0
2022/7/7,おひたし,キャベツ,45,8,0.5,0.1,2
2022/7/7,おひたし,人参,5,1,0,0,2
2022/7/7,おひたし,小松菜,15,2,0.2,0,2
2022/7/7,おひたし,しょうゆ,2.8,2,0.2,0,160
2022/7/8,夏野菜のカレー,米,70,239,4.3,0.6,1
2022/7/8,夏野菜のカレー,麦,10,33,0.7,0.2,0
2022/7/8,夏野菜のカレー,油,0.3,3,0,0.3,0
2022/7/8,夏野菜のカレー,酒,1,1,0,0,0
2022/7/8,夏野菜のカレー,水,,0,0,0,0
2022/7/8,夏野菜のカレー,豚肉,40,73,8,4.7,20
2022/7/8,夏野菜のカレー,人参,13,4,0.1,0,4
2022/7/8,夏野菜のカレー,玉ねぎ,35,11,0.3,0,1
2022/7/8,夏野菜のカレー,にんにく,0.1,0,0,0,0
2022/7/8,夏野菜のカレー,しょうが,0.2,0,0,0,0
2022/7/8,夏野菜のカレー,油,1,9,0,1,0
2022/7/8,夏野菜のカレー,かぼちゃ,25,18,0.4,0.1,0
2022/7/8,夏野菜のカレー,なす,18,3,0.2,0,0
2022/7/8,夏野菜のカレー,トマト,18,3,0.1,0,1
2022/7/8,夏野菜のカレー,油,5,44,0,5,0
2022/7/8,夏野菜のカレー,小麦粉,5,17,0.4,0.1,0
2022/7/8,夏野菜のカレー,カレー粉,1,3,0.1,0.1,0
2022/7/8,夏野菜のカレー,濃縮スープ（ポーク）,2,1,0.1,0.1,2
2022/7/8,夏野菜のカレー,塩,0.75,0,0,0,293
2022/7/8,夏野菜のカレー,トマトケチャップ,4,4,0.1,0,48
2022/7/8,夏野菜のカレー,しょうゆ,2.5,2,0.2,0,143
2022/7/8,夏野菜のカレー,ベイリーフ,0.02,0,0,0,0
2022/7/8,夏野菜のカレー,水,60,0,0,0,0
2022/7/8,牛乳,牛乳,206,126,6.8,7.8,84
2022/7/8,わかめサラダ,わかめ,1,2,0.2,0,36
2022/7/8,わかめサラダ,キャベツ,40,7,0.4,0.1,2
2022/7/8,わかめサラダ,きゅうり,5,1,0,0,0
2022/7/8,わかめサラダ,しょうゆ,2.7,2,0.2,0,154
2022/7/8,わかめサラダ,サラダ油,1.8,16,0,1.8,0
2022/7/11,なすのミートソーススパゲッティ,スパゲッティ,60,208,7.7,1.1,1
2022/7/11,なすのミートソーススパゲッティ,塩,1.2,0,0,0,0
2022/7/11,なすのミートソーススパゲッティ,サラダ油,1.3,12,0,1.3,0
2022/7/11,なすのミートソーススパゲッティ,豚ひき肉,40,73,8,4.7,20
2022/7/11,なすのミートソーススパゲッティ,大豆ミート,4,14,1.9,0.1,0
2022/7/11,なすのミートソーススパゲッティ,人参,10,3,0.1,0,3
2022/7/11,なすのミートソーススパゲッティ,玉ねぎ,45,14,0.4,0,1
2022/7/11,なすのミートソーススパゲッティ,なす,20,3,0.2,0,0
2022/7/11,なすのミートソーススパゲッティ,油,1,9,0,1,0
2022/7/11,なすのミートソーススパゲッティ,グリンピース,3,2,0.2,0,0
2022/7/11,なすのミートソーススパゲッティ,トマトケチャップ,14,15,0.2,0,168
2022/7/11,なすのミートソーススパゲッティ,トマトピューレ,14,6,0.3,0,3
2022/7/11,なすのミートソーススパゲッティ,中濃ソース,8,11,0.1,0,184
2022/7/11,なすのミートソーススパゲッティ,さとう,1,4,0,0,0
2022/7/11,なすのミートソーススパゲッティ,塩,0.4,0,0,0,156
2022/7/11,なすのミートソーススパゲッティ,こしょう,0.03,0,0,0,0
2022/7/11,なすのミートソーススパゲッティ,ナツメグ,0.01,0,0,0,0
2022/7/11,なすのミートソーススパゲッティ,ベイリーフ,0.02,0,0,0,0
2022/7/11,なすのミートソーススパゲッティ,水,50～60,0,0,0,0
2022/7/11,なすのミートソーススパゲッティ,粉チーズ,3,13,1.3,0.9,45
2022/7/11,なすのミートソーススパゲッティ,米粉,6,21,0.4,0,0
2022/7/11,なすのミートソーススパゲッティ,水,,0,0,0,0
2022/7/11,牛乳,牛乳,206,126,6.8,7.8,84
2022/7/11,マヨネーズサラダ,キャベツ,45,8,0.5,0.1,2
2022/7/11,マヨネーズサラダ,人参,5,1,0,0,2
2022/7/11,マヨネーズサラダ,ホールコーン,5,4,0.1,0,11
2022/7/11,マヨネーズサラダ,さとう,0.2,1,0,0,0
2022/7/11,マヨネーズサラダ,塩,0.22,0,0,0,86
2022/7/11,マヨネーズサラダ,酢,0.9,1,0,0,0
2022/7/11,マヨネーズサラダ,こしょう,0.01,0,0,0,0
2022/7/11,マヨネーズサラダ,サラダ油,1.3,12,0,1.3,0
2022/7/11,マヨネーズサラダ,卵ぬきマヨネーズ,3.7,22,0,2.4,27
2022/7/12,中華おこわ,米,30,103,1.8,0.3,0
2022/7/12,中華おこわ,麦,5,17,0.4,0.1,0
2022/7/12,中華おこわ,もち米,35,120,2.2,0.4,0
2022/7/12,中華おこわ,酒,0.8,1,0,0,0
2022/7/12,中華おこわ,水,,0,0,0,0
2022/7/12,中華おこわ,しょうが,0.5,0,0,0,0
2022/7/12,中華おこわ,豚肉,15,27,3,1.8,7
2022/7/12,中華おこわ,人参,10,3,0.1,0,3
2022/7/12,中華おこわ,たけのこ,10,3,0.4,0,0
2022/7/12,中華おこわ,ごま油,1,9,0,1,0
2022/7/12,中華おこわ,さとう,0.9,4,0,0,0
2022/7/12,中華おこわ,塩,0.3,0,0,0,117
2022/7/12,中華おこわ,しょうゆ,3.5,3,0.3,0,200
2022/7/12,中華おこわ,酒,1,1,0,0,0
2022/7/12,中華おこわ,枝豆,5,7,0.7,0.4,0
2022/7/12,牛乳,牛乳,206,126,6.8,7.8,84
2022/7/12,とり肉のゆず塩揚げ,鶏肉,60,97,11.4,6.1,31
2022/7/12,とり肉のゆず塩揚げ,みりん,1,2,0,0,0
2022/7/12,とり肉のゆず塩揚げ,塩,0.4,0,0,0,156
2022/7/12,とり肉のゆず塩揚げ,ゆず果汁,1.5,0,0,0,0
2022/7/12,とり肉のゆず塩揚げ,こしょう,0.03,0,0,0,0
2022/7/12,とり肉のゆず塩揚げ,にんにく,0.08,0,0,0,0
2022/7/12,とり肉のゆず塩揚げ,片栗粉,10,34,0,0,0
2022/7/12,とり肉のゆず塩揚げ,油,35,21,0,2.4,0
2022/7/12,ごま入りおひたし,キャベツ,45,8,0.5,0.1,2
2022/7/12,ごま入りおひたし,人参,5,1,0,0,2
2022/7/12,ごま入りおひたし,小松菜,20,3,0.3,0,3
2022/7/12,ごま入りおひたし,しょうゆ,3,2,0.2,0,171
2022/7/12,ごま入りおひたし,白ごま,1.5,9,0.3,0.8,0
2022/7/13,ぶどうパン,ぶどうパン,50,250,7.3,3.8,353
2022/7/13,牛乳,牛乳,206,126,6.8,7.8,84
2022/7/13,とり肉のクリーム煮,鶏肉,70,113,13.3,7.1,36
2022/7/13,とり肉のクリーム煮,白ワイン,2,2,0,0,0
2022/7/13,とり肉のクリーム煮,玉ねぎ,40,12,0.4,0,1
2022/7/13,とり肉のクリーム煮,人参,15,4,0.1,0,5
2022/7/13,とり肉のクリーム煮,しめじ,5,1,0.1,0,0
2022/7/13,とり肉のクリーム煮,ほうれん草,15,3,0.4,0,17
2022/7/13,とり肉のクリーム煮,油,0.8,7,0,0.8,0
2022/7/13,とり肉のクリーム煮,油,1.8,16,0,1.8,0
2022/7/13,とり肉のクリーム煮,バター,2,14,0,1.6,15
2022/7/13,とり肉のクリーム煮,小麦粉,4,14,0.3,0.1,0
2022/7/13,とり肉のクリーム煮,調理用牛乳,20,12,0.7,0.8,8
2022/7/13,とり肉のクリーム煮,脱脂粉乳,5,18,1.7,0.1,29
2022/7/13,とり肉のクリーム煮,濃縮スープ（チキン）,2,0,0.1,0,2
2022/7/13,とり肉のクリーム煮,塩,0.6,0,0,0,234
2022/7/13,とり肉のクリーム煮,こしょう,0.04,0,0,0,0
