B日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）,,,,,,,,,
2023/11/8,塩肉じゃが,油,1.2,11,0,1.2,0,,,,,,,,,
2023/11/8,塩肉じゃが,グリンピース,3,2,0.2,0,0,,,,,,,,,
2023/11/8,塩肉じゃが,濃縮スープ（ポーク）,2,1,0.1,0.1,2,,,,,,,,,
2023/11/8,塩肉じゃが,みりん,1,2,0,0,0,,,,,,,,,
2023/11/8,塩肉じゃが,塩,0.9,0,0,0,351,,,,,,,,,
2023/11/8,塩肉じゃが,こしょう,0.01,0,0,0,0,,,,,,,,,
2023/11/8,ごまみそあえ,もやし,40,6,0.7,0,1,,,,,,,,,
2023/11/8,ごまみそあえ,人参,5,1,0,0,2,,,,,,,,,
2023/11/8,ごまみそあえ,小松菜,20,3,0.3,0,3,,,,,,,,,
2023/11/8,ごまみそあえ,白ごま,1.6,10,0.3,1,0,,,,,,,,,
2023/11/8,ごまみそあえ,さとう,1.7,7,0,0,0,,,,,,,,,
2023/11/8,ごまみそあえ,白みそ,2,4,0.3,0.1,98,,,,,,,,,
2023/11/8,ごまみそあえ,しょうゆ,1,1,0.1,0,57,,,,,,,,,
2023/11/8,味付けおかか,味付けおかか,4,10,1.2,0.1,148,,,,,,,,,
2023/11/9,中華丼,米（委託炊飯）,80,274,4.9,0.7,1,,,,,,,,,
2023/11/9,中華丼,豚肉,30,55,6,3.5,15,,,,,,,,,
2023/11/9,中華丼,いか,20,16,3.6,0.3,40,,,,,,,,,
2023/11/9,中華丼,人参,10,3,0.1,0,3,,,,,,,,,
2023/11/9,中華丼,白菜,70,9,0.5,0.1,4,,,,,,,,,
2023/11/9,中華丼,長ねぎ,20,4,0.2,0,0,,,,,,,,,
2023/11/9,中華丼,小松菜,10,1,0.2,0,2,,,,,,,,,
2023/11/9,中華丼,干し椎茸,0.8,2,0.2,0,0,,,,,,,,,
2023/11/9,中華丼,油,1.1,10,0,1.1,0,,,,,,,,,
2023/11/9,中華丼,塩,1,0,0,0,390,,,,,,,,,
2023/11/9,中華丼,こしょう,0.03,0,0,0,0,,,,,,,,,
2023/11/9,中華丼,片栗粉,3,10,0,0,0,,,,,,,,,
2023/11/9,中華丼,水,10～15,0,0,0,0,,,,,,,,,
2023/11/9,牛乳,牛乳,206,126,6.8,7.8,84,,,,,,,,,
2023/11/9,大学いも,さつまいも,80,92,0.9,0.1,8,,,,,,,,,
2023/11/9,大学いも,油,35,21,0,2.4,0,,,,,,,,,
2023/11/9,大学いも,さとう,5,20,0,0,0,,,,,,,,,
2023/11/9,大学いも,しょうゆ,1,1,0.1,0,57,,,,,,,,,
2023/11/9,大学いも,水,,0,0,0,0,,,,,,,,,
2023/11/9,大学いも,黒ごま,0.5,3,0.1,0.3,0,,,,,,,,,
2023/11/10,ぶどうパン,ぶどうパン,50,250,7.3,3.9,353,,,,,,,,,
2023/11/10,牛乳,牛乳,206,126,6.8,7.8,84,,,,,,,,,
2023/11/10,ミートソースグラタン,マカロニ,25,87,3.2,0.5,0,,,,,,,,,
2023/11/10,ミートソースグラタン,塩,0.4,0,0,0,0,,,,,,,,,
2023/11/10,ミートソースグラタン,豚ひき肉,35,64,7,4.1,17,,,,,,,,,
2023/11/10,ミートソースグラタン,玉ねぎ,40,12,0.4,0,1,,,,,,,,,
2023/11/10,ミートソースグラタン,人参,10,3,0.1,0,3,,,,,,,,,
2023/11/10,ミートソースグラタン,にんにく,0.5,1,0,0,0,,,,,,,,,
2023/11/10,ミートソースグラタン,セロリ,2,0,0,0,0,,,,,,,,,
2023/11/10,ミートソースグラタン,油,0.7,6,0,0.7,0,,,,,,,,,
2023/11/10,ミートソースグラタン,濃縮スープ（ポーク）,3,2,0.1,0.1,2,,,,,,,,,
